User,Bio,Country
bartlomiejw,Life's too short to drink bad wines,poland
brian.wata,,canada
juan.del-pu,,united-states
yevgen.k1,,ukraine
sergey.khab,,ireland
tobias-jur,,poland
cayles,,south-africa
paul-de-villiers,,south-africa
ron.aasholm,In pursuit of Bible Belt reds and anti-vaccination oranges.,finland
jaime-hernandez25,,el-salvador
magnus-kron,Wine and food from all cultures with a weakness for the mediterranean life,sweden
erica.tom,Fairly new to wine education. Currently being WSET trained. Basically I love wine!!,united-kingdom
artur.melo,"🔎🍾👁️👃👅📝🍷🔁(choose, pop, view, smell, taste, review, drink, repeat)",portugal
barbara.dema,,united-states
caitlin_loc,,united-states
marc_en,Sex & Wine & Rock & Roll  ,belgium
lukasz.wojn,"Weinakademiker, WSET Diploma in Wines and Spirits, Import Manager at Wine And You",poland
sveinung.b,,norway
kimberly_perr,,united-states
arrief,,netherlands
kevin_barrett,Love wine and paired food.,canada
jd-c,,france
nathan.gimein,,israel
jaime.gru,"Believer, husband, professor and wine enthusiast (in that order of import). ",united-states
triggerm,Atlantic seaboard local property expert. And photographer. ,south-africa
dave_christ,,canada
ff5f910b35b9d12ecd6c8d5f24ffa6de,,korea-south
stephane.watteeux,,united-kingdom
conor-milne,,united-kingdom
rebecca_will,British - Canadian 🇬🇧🇨🇦 oenophile. WSET 3 Certified.,canada
diogo.dragone,,brazil
cb79b81a43898b45585b066785b43be6,,united-kingdom
alex.kharkov,,russia
kairi.tozen-putsepp,,estonia
michal.sad,,poland
jovan-cr,Vinoljubac,republic-of-serbia
juliop,"Vinho ou não vinho, eis a questão.",brazil
anita_hud,,united-kingdom
sftechinista,"I'm into fashion, wine and tech.  At their intersection is my happy place.",united-states
frankk2,,netherlands
theresa.om,,canada
justyna_p3,,poland
kay_leo,,singapore
celynne,"Dietician, Author, French Foodie",united-kingdom
arvydas.adamonis,,norway
patrick-mol,,canada
inseop.choi,,united-states
alexandre_e,,brazil
mikhail.ivanov20,,russia
howard_wan,"Just as we all know about food, so everyone makes sense of wine. Sommelier",taiwan
pinot-g,,netherlands
anna-sofia-adelinab,,belgium
rammyj,📍 Toronto,canada
brad.frey,,united-kingdom
marcelocaseira,Vinho para alma e amizades,brazil
ilya-zhar,,russia
abraham-liu,,singapore
clay-pen,,ireland
frank.merkx,Young contemporary artist happy to discover the world and anything it has to offer.,belgium
darren.brya,,united-kingdom
christa_ca,,south-africa
paolo.sa,Wine entusiast with focus on Italian wines & Champagne/sparkling wines.,netherlands
jan_nos,"Information Engineer, passionate about skiing, house music and wine",united-kingdom
pl-toreb,,norway
c-walsh,don't want to be a critic. It's tasty or it's not. ,ireland
maestro.b,Wake me up for a nice Red wine. I like 'em fruity & sweet but not to dry.,netherlands
miree.park,,korea-south
anthony.jackel,,united-states
chris.lak,The Rogue Wino. Your pretense is of no value here.,canada
rodney-kl,,united-states
gary.haberl,My wife studies wine. I just like the homework.,canada
peter.bogae,Italian wine & food lover.,belgium
wijngroepnoord,Life's too short to drink bad wines.,germany
special,"Tasting wines on behalf of the Peoples, fools !",new-zealand
anthony.kell,,ireland
frode.myklebust,Enthusiast. Nerd. WSET Level 1.,united-kingdom
thorsten_g,Pairing of wine is so easy: me + a glass of wine!,norway
vinominal,,spain
nicholas.jarvis,,mexico
oleg.oros,Photographer | Graphic Designer | Mixologist at PURO Hotel,poland
sheldon.liew,,singapore
m55d45e41e3dd64268ee2b9686c5df8b,,united-states
clemens.ret,,canada
john_james9,,united-kingdom
andre.rud,,canada
rodney.par,,united-states
nick.gust,"38 year old guy living in Sioux Falls, SD. I love Real Estate, wine and my family.",united-states
carlos_gav,,united-states
raynard.van-gend,coffee man loving wine,south-africa
carlos_garcia51,,colombia
anna-ersh,,united-states
alek.hofmann,,poland
nathan.lott,"Teacher, athlete, enthusiast and connoisseur. ",united-states
m9gkmc9tkrek-kkikvep4jg,,norway
axel.dah,Wine lover since 1980. Started subscribe Bordeaux with 1982 vintage - so lucky.,germany
jethro.van-niekerk,,south-africa
kamila.tokarska,Food blogger at ,poland
carlos_jack,Currently obsessed with obscure Spanish bottles & Bordeaux (st emilion & margaux),united-states
fergal.reilly,,ireland
jung.soohyong,,korea-south
katy-wal,Loving wine one bottle at a time in the south... Am learning as I go,united-states
sam.ou,,netherlands
greg.d8,,canada
luciano.nis,,canada
martijn.mos,,netherlands
jan_sn,,netherlands
james.blackford,,united-kingdom
paul.scu,I travel the world vineyards looking for the 'holy grail' of pinot noirs.,ireland
miroslav.ras,,czech-republic
nigel.merre,,new-zealand
jasper_kr,The Wine Warrior,netherlands
greg.mills,"It just so happens I drink wine.
I like the good stuff, I can afford the cheap stuff.",canada
cristian.anc,"Wine enthusiast, Champagne lover, WSET Level II",romania
joaosantos9,,portugal
richard-lawson1,,united-kingdom
jacob_blu,,denmark
peter-nilsson-18,Starting to work on my WSET 2 while trying to find the perfect red!,united-states
thoughtsonwine,,canada
justin.batt,,canada
masha.petukhova,,russia
marloms,,ireland
mark.struckman,,united-kingdom
ferhat-c,"Flaneur, professional dilettante.",united-kingdom
christheo,,greece
joo1st,WSET2 🥂. Once top 100 NL. Searching for my second 5 ⭐️,netherlands
chadwickh,,united-states
m8b74f42e2f06b4633718dba33d9a870,,united-states
dayna.jackson,"Architect & Oenophile
Fell for wine at Uni in Italy",united-states
jane.ber,Just a lady who loves wine and likes to talk about it!,united-states
roar.hor,,norway
mat-all,"WSET L3 amateur wine enthusiast, enjoying exploring the world of wine.",canada
per-win,Sempre Italia!,sweden
michael.bargisen,,sweden
paulrxon,"Happy amateur w/ large interest. Favourites in Zin, Rioja and Champagne. Own cellar.",sweden
steve-ong1,,malaysia
claudio.tag1,,singapore
kris.brya,,united-states
jeyeonp,,korea-south
sam-allen6,,united-kingdom
grahaml2,"wine and travel enthusiast, preferably  together.",united-kingdom
christiaan.hulleman,,netherlands
razvanm0,,romania
morten_thomassen,,denmark
lord.k,Searching for the perfect Pinot Noir. My quest continues.,united-kingdom
csharpe0929,Flourish where you're planted.,united-states
jakub.chwiecko,,poland
marius_const,🍷 Wine enthusiast. WSET level 3,denmark
christiaan-g,,south-africa
taste-wines,Founder taste-wines.co.uk  Independent wine professional - WSET L3.,france
bok-nan.lo,I tell you what's the good wine to drink so that you don't waste time on bad wines,singapore
m362eb265da6ddd364bab29aaa4b8c30,,netherlands
natasha.pir,,ukraine
tfryzlewicz,Corporate finance professional during the day. Wine enthusiast in the evening.,poland
trondl_magic,"A passion for good food and wine. High pref. for Malbec, Ripasso, Amarone & Rioja",norway
john.alias,,canada
mario.della-nina,"🇧🇷🇨🇦🍷🧀
Only wines that I’ve tasted! Salute! 🥂",canada
kurties,,belgium
eunyoung.le,,korea-south
ren-kl,,denmark
mika.kanerva,,finland
claus-moe,,denmark
karl.schr,,canada
amanda.ment,,united-states
aleksandr.sidorik,,ukraine
vlad.akhmedulin,,switzerland
james.defehr,,canada
ssn,Score is based on price in comparison with quality,denmark
eoin.moo,,singapore
bjarni,"Primarily into Italian and Americas. More red, than white. More champagne, than cava.",denmark
ollie_wi,"Deputy Head Teacher
Red Wine Lover
Not fussy just enjoy decent wine",united-kingdom
peter.winem,,australia
stephanie.weis,,united-states
randy.hert,,united-states
docj0,Enjoying exploring big reds from old and new world vineyards. Ratings reflect VFM.,united-kingdom
gerbrand.daamen,,netherlands
victor-hugis,,brazil
jan_gaj,"Wine lover, wine explorer",slovak-republic
mark.matthews3,"Wine enthusiast, scientist. See wishlist for my best rated, best value top picks.  ",australia
cassio-cam,Life’s too short to drink bad wine! ,united-states
khayyamh,,azerbaijan
rutger.van-de,I love wine and cooking sustainable dishes based on different cuisines and cultures,poland
patrick-ful,,united-states
anuj_m,,indonesia
rob.arn,,united-states
dana-lea,Jersey born. Baltimore educated. Paris refined.,united-states
bradley.glenn,,united-states
grahame.v,,united-kingdom
arden.burrows,,canada
hrvoje-he,winemaker and winelover,croatia
martin.solibakke,,denmark
adrian.douglas,WSET 2 Distinction. Now for Level 3. We love everything wine. @aliceswonderlandofwine,united-kingdom
robert-jacobs3,Never give points for price.  Always decant.,united-states
sammy.mou,"@curawines WSET1+WSET L2 in the pocket, waiting for the results of WSET L3, 🤔 about WSET Spirits L1",curacao
mischa.hi,,switzerland
scottgill2,"Im not having a glass of wine, I’m having 6.  It’s called a “tasting” and it’s classy",philippines
scottgardner55,Who’s drinking wine on lockdown?,united-states
lisat20,,united-states
aptem599,,russia
john.maisey,,canada
randy.sommerfeld,,canada
melissa.calder-matthews,,united-kingdom
raymond.koch,,brazil
m6f1f5e0a57a3e570d549e45a4e17ae7,,united-kingdom
niels-martin-nygaardn,"Wine, beer and food geek. Particular interests: Italian red wines and German Riesling",denmark
m3960fec6429a242e5324bb337fd7c4c,,canada
m28ef06b9654358d93947db52a65e47c,,finland
eduardo.hameau,,chile
markross2,Spanish & big reds fan. WSET 2. ,united-kingdom
m56c6704737e185fd43b751949e18f82,,united-states
chawin.phongkul,,thailand
sherief.nazif,,egypt
patrick.cox,,united-states
peter.barr,Is that al' I'm gettin'?!,united-kingdom
hugo.alle,,united-kingdom
db75495ddcd3d2ad92efc297e27b9965,,netherlands
wouter-boer,"Work in healthcare and I love wine. Preferably French, Italian and German.",netherlands
ionut.tinca,,romania
dbrobert,"Pilot, programmer, geek. Also enjoy good rum and fine wine.",canada
russell-c,,ireland
marius-van-reenen,,south-africa
lionel.cho,"NIche corporate financier with restructuring emphasis, IPO and PE.",hong-kong
albie.visser,"It all began in 1996, at Kanonkop, Stellenbosch. 
An obsessed oenophile was born.",south-africa
dr-po.po,,poland
tori.em,I enjoy a good wine but the company I share with it is much more important. ,united-states
fabio-zottele,"certified AIS sommelier, surf-melier & terroir-ist! Glass up! Cuz it's a raid!",italy
rhodesianr,Wine and what we have to say about it should be fun.,viet-nam
stuart_mile,,united-kingdom
mikhail.r2,,united-states
gino_am,In Beverage industry & Passionate on Wine.  Quality Wines @ Bargain Prices.,united-states
russell.garn,,ireland
gary.crispens,,united-states
ayim,Wine has become a passion.,philippines
luitzenk,"Smell that sh*t, taste that sh*t, drink it (vrij naar Method Man)",netherlands
klintab,,latvia
giuliano.morelli,,brazil
vit.lidinsky,,czech-republic
simon.chin,Been around the block a bit from Cloudy Bay to Graubunden Blaubergunder,ireland
dberger,,united-kingdom
kloe.woo,,korea-south
miika.varjonmaa,,finland
adammo1,I dint,united-kingdom
jim.dem,My favorite wine you ask? The one I’m drinking of course!!!,united-states
m6f9b1777120949fd4e33f621463dff6,,canada
andrea-di-pi,,finland
jordanew,,united-kingdom
michael.est,"Which sounds better, Wine Enthusiast or Wino? I'm the other one.",united-states
neilmiller1,,united-kingdom
amit.udeshi,,japan
jacob-kors,,aland-islands
m5c1f5f346ed23e89921d1ab0623a403,,brazil
kandi_b,,united-states
carlos.mejia2,"Im a food lover, enjoy all kinds of drinks, yet wine has a special place in my heart!",canada
mario-dor,,israel
jacob.dr,"Instagram: 
- jacobdorje 
- solibrug",norway
bailey_a,,united-states
klementinel,,latvia
angelo.sah,,netherlands
janice-whe,,canada
rosanna.bucknill,"Wine Tourism Masters Student (Spain, France, Portugal) WSET 3 ",united-kingdom
clinton-ma,The greatness of wine is in the sharing,australia
dmitry.skokov,,russia
rhiannon.michelson,I work at Total Wine as a Sales Representative; I know some things. 🍇,united-states
george.wo,Wine collector since 1978,thailand
akshay,,united-states
jay.fro,"Seeking wines that Rock beyond music, lyrics or terroir (or is that terrier?)",united-states
kim-bosw,"Wife, mom, educator, wine enthusiast, gardener, traveler—and in that order.",united-states
f042b034c1edf04770ed8b6c141166bd,,germany
craigwilliams13,Learning by drinking!,united-kingdom
stephen-jackson1,"Technical Director. Vancouver. 
WSET Diploma Candidate
",canada
matthias.puc,,germany
m273a858e368a0c8a0d641f2650458c6,,montenegro
david-herdenberg,,sweden
maykel.mendoza,,united-states
robbie.conn,,ireland
shi.g,,japan
javier.rodriguez50,Hotel Manager. WSET 3 ,tanzania
massimo-b,,italy
mfe495ec957bcefe8626814755c1ef5b,,united-kingdom
iren_adler3,Georgian qvevri wines in Cech Republic,czech-republic
whitney.martyniuk,,canada
illyes.adam,,hungary
eva.mansfield,,united-states
dave-griff,,united-kingdom
tatenda.tanyara,,south-africa
m5caa402380de189df280d3f140a7549,"My ratings take Quality and Price (QPR) into consideration, not just taste and aroma.",united-states
hugo.more,,portugal
f0ff920ae3ae026df2008adf51ad8e31,,united-kingdom
kaoru.morishita,"A musician who loves wine. In the journey of the discovery. My music:
",japan
david.vera5,,colombia
alberto.grec,,italy
becca.wills,,united-kingdom
harry.eastgate,,united-kingdom
declan.carroll1,Instagram: the_wine_guy88,ireland
alejandro.wang,,hong-kong
se-kyung.kim,,korea-south
ivanb20,"___The wheel - penicillin - Internet- good Riesling. ___       

Amateur with WSET-3.",germany
lisal10,,united-states
natasha.burt,"""I cook with wine , sometimes I even add it to the food"" - WC Fields",south-africa
aaron-u,"Love, food, and spirits.",united-states
rodrigo.orella,,el-salvador
steen.kristens,Wine enthusiast through decades. ,denmark
jaco.la,,south-africa
mike-stoke,,united-kingdom
sheri.mahara,,canada
eddie.wong-,,malaysia
ilona.ki,,netherlands
dave-coa,I just like drinking nice wine.,united-kingdom
klaus-vie,Vinum bonum laetificat cor hominis,austria
leroux.bodenstein,Wine is a good way to start a conversation. ,south-africa
world-wine.honeymoon,,united-states
michaelklein5,,iceland
al-ex,alexperier@outlook.com,south-africa
doylej,,united-states
craig.sni,We travel for wine.,brazil
ferenc-f,Missouri resident. USA Today employee. Egészségére!,united-states
russt2,WSET Level 3,united-states
akvile-a,,lithuania
dmitry_sem,,belarus
frans.piet,,south-africa
vittorio.g,,united-states
c.dasilva,Jeg brænder for kvalitets vin og for at få mere Portugisisk vin på det danske marked.,denmark
abby.scho,,united-states
rick-stad,Chicago-born. Weekend wine professional @ VinChicago. Optimistic cynic.,united-states
boyeon.gim2,,korea-south
tom4ord,Too much wine Not enough time,united-kingdom
wooya.roh,,korea-south
luiz-sergio-alves,An enthusiastic wine lover!,brazil
anna-maria.bo,,belgium
craig_chapm,,united-kingdom
adamg5,,united-states
stephen-hardy1,,australia
luiz-ros,Wine geek. Was an architect once. ,sweden
marguerite.leech,,ireland
jasong0,,united-states
tastdatore,"Instagram: @TastdaTore, @Vinkroken and @Champagnekroken",norway
matthew-fisher3,,united-kingdom
rufus-he,,united-kingdom
jay_pie,,united-states
cole-mitchell,25 years old teaching the ways of wine to all generations. Cheers🍷🍇,united-states
wes_sta,,canada
mariamaria21,,russia
helen.thepoler,Pole dancer and engineer,finland
florinv,,romania
tom.van-cauw,,belgium
chris.plei,"Living near some of the best appelarations for white wines, I just have to love wine!",germany
larion.gulyas,,switzerland
tove-gra,"Journalist, author and former wine critic at Morgenbladet, Norway. ",norway
m973794ec97b12a3581f311b74c8dc33,Allow me to be your palate Sherpa !,united-states
marcio.nav,“Life is what happens while you are making other plans” — John Lennon,brazil
randy-rando,I like to travel the world and drink wine!,united-states
timothy_de-vries,,netherlands
jorgen.sva,Going towards less oak and lighter wines.,denmark
tristan-ir,,australia
c495fddf2a05507ab468c775666d02e1,,united-states
dongwon_wine,who loves the magic from soil,korea-south
m889f8f32220948dad3704def5925712,,canada
mccoetzer,"“Beer is made by men, wine by  ― Martin Luther",south-africa
mike.roncaglia,"“Beer is made by men, wine by God” ~ Martin Luther",united-states
eric-van-da,,belgium
robert-hahne,Loves great wines and really good food and retro computers.,sweden
yulia-maltseva,,cyprus
christine.teno,,guam
haridimoss,Explorer / Taste / Connect,czech-republic
markallen8,In charge of successful countryclub wine lists. Tasted 6-60 bottles/week. Still try🍷,united-states
stephen-morgan5,,united-kingdom
jerrif,Love a good wine red or white,united-states
sten.kuhn,,netherlands
jorge_cru,,brazil
eugene.sy,,netherlands
m42b79e6169685a11963cdf21917bad1,,united-states
irosr,,brazil
steven.ter,,netherlands
alexander-mcq,,united-states
m415c3d3aec6e712ee5bb507e38a0f77,,canada
maurits.se,,netherlands
joost-blaauwwiekel,,switzerland
chenyang2,,singapore
fern.antonio,,south-africa
george.mullen,,united-kingdom
vladimir_smagin,,russia
alessandro-mot,all that glitters is gold,czech-republic
shawn_ande,I review wines with focus on their quality compared to price. I follow back. 👍😀🍷,denmark
m237bd5604ba9de7d9852ef98f83d663,,united-states
perco.tes,"Private sommelier, home cook. Check out my Instagram ⤵️",russia
aa4076a33010b40177eed52e1f379031,,czech-republic
alyssa.kr,Living in London missing my CA wine but making up for it with the EU visits and more!,united-kingdom
kevin.conw,,united-states
nes.cole,,indonesia
anthony-wit,don't know much about wines. Basically just keeping track of what was tasty or not,united-states
tim_marsha,We enjoy a bottle every other night or so. Ranges from $10 to $200. Top 1000 in USA.,united-states
dave.chu,I like trying new wines and sharing the experience.,united-states
m9733a9f43f81b9b8a1c12f56496c27d,"Love wine. Not great with the technicalities, but, I'm skilled at drinking the stuff.",united-kingdom
f43cc331f8f32b54b5512630aaab5a95,,united-states
james.marsden,,japan
ian_ell,,united-kingdom
guus.harden,,netherlands
adam-matthews1,,australia
roger_williams5,,japan
cheoljin-lee,,united-states
kidaehong,,united-states
tyler-young2,,united-states
julia-meyer,,south-africa
caitlin-si,Wino in bloom.,united-states
sean.miller13,,germany
dennis.kuv,,russia
folo-delano,"My passion is red, my heart in France, in love I'm in  O&N world wine-lover!",viet-nam
carlo.ter,"5* Perfect?  Epic 4* Excellent
 Very good 3* Good  Ok <2* Poison",united-kingdom
thomas.jenkins,,united-kingdom
eric.dorl,,switzerland
simon-higgi,,united-kingdom
bill_lang,"Wine lover, bee keeper, orienteer, and ultra runner.",united-states
m53a0ec714d4d33821fb526523990188,"Italian American, pressed wine growing up with grandpa, love it!",united-states
kris-dei,,united-states
deborahweiner,live in georgia. love a great glass of wine that inspires me to learn more.,united-states
casper_sch,Chef | DJ | Vinologist (WSET4) | BBA in Hotel & Eventmanagement ,netherlands
b679db0c6b12a58c4e802cadd61f1dca,,norway
winelab,Pro Danish wine writer. Detailed wine reviews on my webpage!,denmark
liza.az,,ghana
byung-jun.k,a typical wine enthusiast,korea-south
david.nijs,,united-kingdom
richard.pilling,,united-kingdom
tom.thacher,,united-states
isabel-isa,,poland
boram-min,,korea-south
tsepe-motumi,,south-africa
peter_chand,,canada
d1be7591de60c924833da909a265fe78,,united-states
julie.ole,Time to drink wine and dance on the Table;),united-states
aart.den-hartog,,suriname
thomas_cou,,netherlands
krimson,Wset 3  -  IWS student,belgium
bystannard,,south-africa
mark-firman,,malta
winecrates,A journey to discover beauty in a bottle. ,singapore
caryn.formby,Cape Town based but love to travel to taste wine,south-africa
cerades,,netherlands
kevin.holley,,united-kingdom
jeffrey-st,"Sans pain, sans vin, l'amour n est pas",united-states
don-fito,Tempranillo veraison,united-states
torben-bop,,denmark
stefano.vittor,"Sommelier AIS, WSET, Store Manager at Viti Wine - ""Where there is no wine, there is no love""",canada
nev.geo,Great minds drink alike.,sweden
marcell-k,Sommelier with a twist of science. PhD in Terroir + Wine & Emotion Pairings ,australia
michel-vanderv,,italy
kennet.hanse,A life with wines means you need to evolve for the rest of your   Thats cool!,norway
jay_taylor4,,australia
glenn-her,,united-states
diego.zingano,appassionato del mondo del vino e della fotografia,romania
gustavo.tav,,dominican-republic
luke.sierpl,,poland
volker-t,"Adelaide based DipWSET. Certified German, Italian, Spanish & French Wine Scholar.",australia
john-thompson15,Food and Wine Blogger,canada
saverio.c,"Life without wine and whiskey, is not worth living!",south-africa
morten-pejtern,Summer is here! which stylls will win out? 🤷 Properly not rosé. ,denmark
filipe.vendrame,Amateur wine lover ,netherlands
simon_pro,,netherlands
paddyj,,ireland
paddy.keh,"Until I discovered ""Torres Manso De Velasco""... Whiskey & Gin..",ireland
miguel-chan,"Sommelier based in Johannesburg #SouthAfrica #Wine #MiguelChan #Winebar #Bar
Twitter @capewinereview",south-africa
edu.san,"Agile Coach, Entrepreneur and Producer 
A toast to life and whatever we can do to it!!",brazil
inguy.rag,,hong-kong
alvaro.soto-,,spain
greg-ben,,canada
dennis-top,,united-states
ken.blowfield,IG: @yoursocialwineconnoisseur,australia
eric.brug,It is just a drink. Nothing more or less. But I love it. Degrees: Strik diploma!,belgium
monnaa,"Me: dogs, wine, hunting, shooting, good food, sauna and beer.",finland
matthew.funnell,,south-africa
baldur_b,,sweden
tph258,,united-kingdom
justin-will,,united-states
simon-irwin,,ireland
michiel.b,,netherlands
luka-opacic,"19, London, WSET 2, Amateur Wine Enthusiast",united-kingdom
elizabeth_micha,,united-states
christopher.hango,,canada
jeff.niemi,,united-states
luke.meik,Wine liberal - in opinion & in pouring. French in spirit. Actuarial Science student. ,south-africa
zenkaiaudio.null,,united-states
filippo.gh,WSET 2,united-kingdom
lainie.alden,"Professor, Scholar, Reiki Master, Gong Guru, Global Citizen and Lover of ",united-states
gabriela_sh,,germany
wladaq.veles,,belarus
vladimir.silkin,,russia
migsm,,united-kingdom
sarah.scalia,"Drinks, pets dogs, knows things. On a Sauvignon Blanc kick lately but not picky.",united-states
cvicci.emp,,thailand
alexandre.his,,brazil
richard.rip,"Enjoying wine, wine & dine and travel different wine regions. (WSET advanced).",netherlands
m8641ff86d5e9bb9db6a94b36d502c98,,mexico
mat.lax,,united-kingdom
costa-r,wine lover,latvia
horst_scha,,norway
joran.van-opstal,Check our instagram page about wine and food! ,netherlands
m10b564de04ff184887af3e889a32b90,,united-kingdom
vladimir.vo,alcoholic),russia
guy.6,,israel
muks,,united-states
gary-buc,,south-africa
michael-dehn,,united-states
kody.mcgregor,Connoisseur of the cheap shit. I believe in truth and momentum.,south-africa
curtis_smith2,,canada
marten.s,Wine lover. Wine knowmad. Wine is my middlename. @winespin on Instagram,netherlands
amanda-fi,Founder of Weegie Wine Club and Wine Not,united-kingdom
alena-ryb,,russia
grace.tierney,,ireland
philippe-le-bo,,viet-nam
timothy-s,,united-states
jurek-f,,poland
idan.ilan,,germany
horacio-car,,united-kingdom
gergely.szabo3,,hungary
jorgelazarodiaz,"Get our new book, “A Casual Winers Guide to Picking Wines You Love Every Time”",united-states
toni.waelburgs,"Instagram terroir_winesstories
WSET 4 Diploma
Wine educator
Certified Sommelier

",belgium
pawel.gr,"big wine enthusiast and owner of a vineyard in Roztocze, Poland.",poland
ilaria-dec,WSET Sommelier - IG @theautisticcritic,canada
salvo.villanti,,malta
gord-g,Great trip to Australia. Got to try Many fantastic wines that I haven’t at home. ,canada
ilaria.f,,united-kingdom
martin.smith49,,united-kingdom
oleksandr.velykoivanenko,,switzerland
dennid.forsythe,,united-states
noah.cascio,Italian Wine Guru,united-states
vinnie.va,"""Wine is constant proof that God loves us and loves to see us  Franklin :-)",united-states
bruno-merc,"MD of Dragon Seal wines in the 90's, now Director at Gramona SA",hong-kong
dimitarn,"The joy of buying, selling, judging and writing about wine.",bulgaria
roger.sinta,,united-states
asabsulio,"I love Carmenere, Malbec, and Spanish wines.",united-states
jane.campbell3,🇨🇦 Life is too short to drink bad wine! 🍷,canada
gomong,💖🍇🍷😃,denmark
andreas.georgiades,,united-kingdom
chris-beet,,united-kingdom
christian-roge,,denmark
simon_davidso,,australia
vinny.f1,,united-states
mark-herman1,,united-states
mhshmyc2zrv-m2khwvx8dfa,,canada
anna.eriks,"WSET1 WSET2 Munskänkarna 1 och 2-betyg, Studerar nu på Wine-legs",sweden
cynthia-xu1,,china
kit_fr,,united-kingdom
wesley.eeman,,belgium
liz.blaauw,A spud eating Mick based in Amsterdam wasting money on wine.,ireland
ben-higgi,,united-kingdom
baristabaritone,,united-kingdom
linden.br,"4 to 6 months in Toscana, Italy. ... The remainder in South Africa, Cape Town.",south-africa
jrcynwyd,,united-states
stuart.gemmell,,united-kingdom
yogu,Just enjoying 🍷,spain
lasse.ripatti,,finland
m6a8474f3acc65623e5d4e93269379a4,"Live From the Cellar podcast host! 
Check it out 
",united-states
camilla_cam,All you need is love and a wine glass.,united-kingdom
anne.nichol1,,canada
samantha.ep,Wine is the blood running through my veins. Sometimes it needs refilling..daily. ,sweden
rafa.figu,"Nascido em Vinhedo,SP :)
Pesquisador de telecom, sommelier, casado e pai da Bia.",brazil
peter-vanderm,I would describe myself as disgruntled user of Vivino.,united-states
vanmietenstein,,netherlands
joshua.kock,"MD, in Colombia",colombia
manz.foodie,,australia
vandyi,"""More wine, please!""",united-states
ali_ami,"Researcher, wine lover and Danish Blind Wine Tasting Champion 2022",denmark
georg.michael-wolff,,thailand
sergey.usa,,russia
jenny_er,Wine lover who enjoys nerding out on the topic :),united-states
said.abu,And who are the judges?,france
michael.wray1,,united-kingdom
rick-vargas,,australia
john.b91,,bahrain
dominique.rac,"If you can’t drink the wine you love, love the wine you drink 🍷 ",canada
edwin_black,,united-kingdom
laimonas.garbencius,,lithuania
ivo.dim,,bulgaria
alice.cronin-golomb,,united-states
izak-h,,united-kingdom
j.p174,,united-kingdom
erik.hedbo,Never say nay to Gamay ,sweden
zigmundsv,,latvia
sander.ronden,Vin de Fauquemont - WSET 2,netherlands
dane.sch,,united-states
mac.collis,,new-zealand
peter-dia,,canada
marc-arwed.rutke,Loving life! ,chile
hayley.zielke,,united-states
tkuzov,Discovering the fascinating world of wine! 🍷,netherlands
magnus.bjorkm,,sweden
laina.braasch,,united-states
jan.fuller,,czech-republic
nicholas.zastrow,,united-states
chrystal-mi,"Celebrating my Italian heritage with every glass of Vino, SALUTE'",united-states
chuen-tatc,Past President of the International Wine and Food Society of Singapore,singapore
kiko_a,"Portuguese living in Belgium and working in Germany. Worldwide wine lover. 
WSET2",belgium
agnieszka-bialachowska,,poland
jan-olof-s,,estonia
lewis.booth,,new-zealand
j-alexj,,poland
petr-mach2,,czech-republic
aseems,,united-states
m8fbaea164ef9d9041aadac81ee088f6,I want to talk with Italian wine lovers around the world on Vivino .,japan
supawat.wongthongsiri,Bordeaux Lover,japan
joshua.gr,"Wine retail chain supervisor, WSET Level 3",united-states
j-a56,,poland
m4my_ewlxtiw3dyhp-o6ldw,,united-states
egill.einarsson,"Professional bodybuilder, best selling author and red wine expert.",iceland
frank.cool,,belgium
wilberth.solano,,spain
dinip,Reformed beer drinker in search of good wine.,south-africa
widhis,,indonesia
skaiste.damaskaite,,lithuania
meg_sta,,netherlands
m59b8c3cbd39c96709229def6b36d8a6,,united-states
m14d21dd1a9cd350ec61f7e9a029cff5,,estonia
karlsmarter,,denmark
westyf,,united-states
vanya.kapitonov,,germany
dancooper13,,australia
alexroma1,,singapore
yury_mat,,russia
gareth.fa,,south-africa
rick-wlsn,ThreeTasteBuds,united-states
paulvan-rijn1,Just enjoying the wines,netherlands
markash1,,united-kingdom
alfred.dal,,austria
yury-vas,,russia
m9ebfba6eb31ce39de0556186c19275c,American expat and wine enthusiast living near Basel Switzerland.,switzerland
casper.pl,Dutch wine enthusiast ,netherlands
brian.gj1,“Nature doesn’t sit still..” David Attenborough. ,australia
hana_r,I like exotic flavors,united-states
nikita.chug,,switzerland
onur.cukurluoglu,,turkey
jan_hamme,,norway
matt_kil,Michigan winemaker and wine enthusiast,united-states
tomasz.dubilis,,poland
pieter.de-wil,"30 years Nederlands Wijngilde
2 times in Dutch team Worldchampionship of German Wines",netherlands
oren.ros,wine_travel_food_wtf on Instagram - follow me =) ,israel
paulo_montei,Wine addict.,brazil
cassie.gat,,united-states
m80bdee36d11d65d300909ac38a4f6ca,Wine reviews from a guy that doesn't know sh*t about wine.,canada
rory-brow,- Professional Adult Beverage Advocate,united-states
jan-wirth,,germany
grant.clark,,south-africa
m808d3f027fb3ff728f7cd71d10e603c,enjoy the journey one glass at a time ,united-states
derek-nash,,united-kingdom
steven.chapman1,,united-kingdom
yong-bint,Independent amateur wine appreciator,singapore
rhys.su,,united-kingdom
omry.sendik,,israel
david.goz,,israel
trang-nguyen26,,viet-nam
bjorn.han,"Mis en bouteille au château.

Skål!",denmark
lisa.kuntze,,south-africa
