,source,retweets,Text,timestamp,userlocation
16,Twitter for iPhone,0.0,Looking for the best restaurants and bars around Sydney? Then the best choice will be https://t.co/D91IgjiLPk with… https://t.co/jzkY56Aupx,2022-09-17 07:25:54,"Lime Street, Sydney Australia"
17,Twitter for Android,0.0,"God Bless you 🙏🍷🥂🍾

#wine https://t.co/zUJn5dtyxo",2022-09-17 07:24:36,
18,Twitter for Android,0.0,"My first night in #Rome included a yummy Food Tour of course! 🍕🥜🧀 
#WillTravelForFood #Italy #FoodieFun #Pizza… https://t.co/kFHr6DzSG8",2022-09-17 07:24:25,Desiree / New Jersey
19,Twitter for iPhone,1.0,RT @CharlEngela: The reason I know quite a lot about French #wine is this: in 2006 I got a job in Paris. I lived in the 1st above a bar and…,2022-09-17 07:21:56,London
20,Twitter for Android,3.0,"RT @damewine: ""Napa Winery Using Covid Lessons On How Technology Can Take #Wine Hospitality To Next Level"" via @Forbes

https://t.co/277Pqm…",2022-09-17 07:16:15,"Bogota, República de Colombia"
21,Twitter for Android,6.0,RT @wineworldnews: Ecstasy at the harvest festival: Wine in history https://t.co/6TqJYAUIpQ via @worldoffinewine #wine #harvest #History #w…,2022-09-17 07:15:55,email:wine@winewankers.com
22,Twitter for Android,11.0,"RT @JamesHubbard113: Epic 2005 @GlaetzerWines 'Godolphin' Shiraz-Cabernet. Barossa Valley showing its greatness. 

Silky, mature black frui…",2022-09-17 07:14:45,email:wine@winewankers.com
23,CellarTracker,0.0,Tasting 2017 Kevin White Winery Reserve - #wine https://t.co/5DxDeAFKoe,2022-09-17 07:13:11,"Kirkland, WA"
24,Twitter for Android,3.0,"RT @damewine: ""Napa Winery Using Covid Lessons On How Technology Can Take #Wine Hospitality To Next Level"" via @Forbes

https://t.co/277Pqm…",2022-09-17 07:12:56,email:wine@winewankers.com
25,Twitter Web App,5.0,"RT @SlovenianA: Incredible! - the World's Oldest #Vine in #Maribor, #Slovenia, still producing #grapes after 400 years. This vine has found…",2022-09-17 07:07:31,Republic of Slovenia
26,Twitter for iPhone,1.0,"RT @domainewardy: International Grenache Day
.
#domainewardy #wine #redwine #grenache #garnacha #oldvine #grenacheday #zahle #beqaa #lebano…",2022-09-17 07:05:50,Lebanon🇱🇧
27,Twittimer,0.0,Winery loans and vineyard lending options: https://t.co/cob7SpodPO #Wine #vineyard #spirits #drinks #napa https://t.co/g3hmx2V3Af,2022-09-17 07:03:03,"Los Angeles, CA"
28,The Social Jukebox,0.0,"In vino veritas
In wine there is truth

In vinho veritas
No vinho há verdade

https://t.co/SGk2bX2kll
Herdade Foz d… https://t.co/9TtX07oKHx",2022-09-17 07:00:33,"Mértola, Portugal"
29,Buffer,0.0,"' @UNWTO Wine Tourism #Conference to Focus on #Innovation, #Sustainability and #Creativity https://t.co/NVDmmz5pUl… https://t.co/3NvtAIt7QB",2022-09-17 07:00:00,Greece
30,Twitter for Android,8.0,RT @Leanne_Laine: My #yoga #art #Wine Body &amp; Soul at WeinloKal in Niagara Falls Ontario (find this #wineart in many sizes https://t.co/3lCb…,2022-09-17 06:59:40,"Leeds, England"
31,Twitter for Android,6.0,RT @Leanne_Laine: My #wineart Fashionably Yours II Trendsipper at Barrel 33 in #California (find this #wine #art in many sizes https://t.co…,2022-09-17 06:59:40,"Norfolk, England"
32,Twitter for Android,8.0,RT @Leanne_Laine: My #yoga #art #Wine Body &amp; Soul at WeinloKal in Niagara Falls Ontario (find this #wineart in many sizes https://t.co/3lCb…,2022-09-17 06:58:52,"Norfolk, England"
33,Twitter Web App,1.0,Instead of a #writerslift inviting the #WritingCommunity to post works (how many times have we all done that?) I'm… https://t.co/2b4pCFcZ1Y,2022-09-17 06:58:24,"Sydney, New South Wales"
34,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 06:58:05,"South East, England"
35,Twitter for iPad,5.0,"RT @SlovenianA: Incredible! - the World's Oldest #Vine in #Maribor, #Slovenia, still producing #grapes after 400 years. This vine has found…",2022-09-17 06:56:53,CANADA
36,Twitter for iPhone,25.0,"RT @TrendyM_: Rustenburg Twitter, here something for you to checkout on the 24th of September 2022. 🍷🎨🖌

#Sipandpaint #art #wine https://t.…",2022-09-17 06:54:02,"Mafikeng, South Africa"
37,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 06:53:50,
38,Twitter Web App,6.0,RT @Leanne_Laine: My #wineart Fever of the Soul ready for a client (find this #wine #art in many sizes https://t.co/3lCbD618yY) #wineartist…,2022-09-17 06:51:47,"Sydney, New South Wales"
39,Twitter Web App,5.0,RT @Leanne_Laine: Client &amp; her friends with my #wineart Sommelier’s Recital (find this #wine #art in many sizes https://t.co/3lCbD618yY) #w…,2022-09-17 06:51:43,"Sydney, New South Wales"
40,Twitter Web App,8.0,RT @Leanne_Laine: My #yoga #art #Wine Body &amp; Soul at WeinloKal in Niagara Falls Ontario (find this #wineart in many sizes https://t.co/3lCb…,2022-09-17 06:51:35,"Sydney, New South Wales"
41,Twitter Web App,6.0,RT @Leanne_Laine: My #wineart Fashionably Yours II Trendsipper at Barrel 33 in #California (find this #wine #art in many sizes https://t.co…,2022-09-17 06:51:28,"Sydney, New South Wales"
42,Twitter Web App,5.0,RT @Leanne_Laine: My #wine and #whiskey art Barrels of Bourbon and Night Society Wine at Tastings (find this whiskeyart and #wineart in man…,2022-09-17 06:51:25,"Sydney, New South Wales"
43,Twitter for iPhone,2.0,"RT @So_mmel_ier: 05 Clarendon Hills Clarendon #Syrah is seductive. Aromatically reminiscent of La Turque, the #wine is showing baked strawb…",2022-09-17 06:51:13,Republic of the Philippines
44,Twitter for iPhone,0.0,"Saturday morning in Saint-Emilion

#SaturdayMorning #wine #french #france #architecture #Saturday #saintemilion… https://t.co/9MGN0ek9cj",2022-09-17 06:50:34,
45,Twitter for Android,0.0,Hello @LaithwaitesWin #wine #windsor @visitwindsor @berkshire_live @BerkshireTweets @InNearBerkshire @OutAndAboutLDN https://t.co/7C5RfvFP8g,2022-09-17 06:47:28,London
46,SocialPilot.co,0.0,Armit Wines and La Rioja Alta - last chance to win a case worth over £400 https://t.co/gX1JNbtpkY #recipes #wine https://t.co/chBD0EPEen,2022-09-17 06:45:19,
47,Twitter for iPhone,1.0,RT @City604Van: @Martyn210 @rcsadvisor @cookingmama48 @KimFox44 @BeatriceLacy @crosiglia @scouse_kim @HChristie2104 @SantosJlorenzo @ARelia…,2022-09-17 06:43:38,"Vancouver, Canada 🇨🇦"
48,Twitter for Android,1.0,RT @WineSelfies: What #wine are you drinking #winelovers? https://t.co/3twuzd2zBw,2022-09-17 06:42:49,JHB
49,Twitter for iPhone,0.0,"Starting Date: ASAP
 
To Apply: melinda@hospitalityandoutdoor.co.za
#hospitality #foodandbeverage… https://t.co/swvhM6J9o1",2022-09-17 06:41:03,
50,Twitter for iPhone,0.0,"Starting Date: ASAP
 
To Apply: melinda@hospitalityandoutdoor.co.za
#hospitality #foodandbeverage… https://t.co/E06uv5kF3k",2022-09-17 06:40:11,"Nelspruit, South Africa"
51,Twitter for iPhone,1.0,"RT @CellarAngels: Misnomers about the Russian River Valley AVA

#wine #Sonoma https://t.co/H9amWQwQN5",2022-09-17 06:39:18,"Groningen, Nederland"
52,Twitter Web App,1.0,RT @CallieSimon: The Healing Powers of Superfoods: A Complete Guide to Nature's Favorite Funct... https://t.co/vAlSlGXbrB via @amazon #Pizz…,2022-09-17 06:29:24,Healing Powers Series Author 
53,"Cheap Bots, Done Quick!",0.0,"Barrack the doggo loved drinking Riesling.  Barrack was never mad when drinking Riesling, because it was always too… https://t.co/c1c3J1yUKT",2022-09-17 06:29:18,"A Big Park, USA"
54,Twitter for iPad,1.0,RT @winsordobbin: Why #vermentino is at the centre of a #wine industry row. #winebusiness #grapes https://t.co/3lrYN8uyPw https://t.co/PoxU…,2022-09-17 06:23:42,Canberra
55,Twitter Web App,16.0,"RT @MattStarrFineA1: This is my painting of a bunch of grapes, with autumn leaves.  https://t.co/Ga42OJozvZ 
#mattstarrfineart #grapes #win…",2022-09-17 06:20:04,The world
56,Twitter for iPhone,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 06:16:35,Earth/northern hemisphere/USA
57,Twitter Web App,1.0,"If You're Happy and You Know It Say More Wine Box Sign https://t.co/KVHxNosadi via @Etsy

This distressed wood sign… https://t.co/zWqXvbsk9n",2022-09-17 06:15:00,"Raleigh, NC"
58,Twitter for Android,7.0,RT @BartlettBacchus: 1992 #Shafer Hillside Select. A fully mature 30 year old wine that’s still fresh and lush. A classic HHS that’s full o…,2022-09-17 06:12:06,"Newcastle, New South Wales"
59,AMT_To_Twitt_Listings,0.0,https://t.co/Ekb7zgDPSW Tabletop Metal #wine Bottle Rack Holder Counter to https://t.co/40Ao9SkeXd,2022-09-17 06:06:37,United States
60,WineRoutes,1.0,"RT @CollectibleVntg: We wanted our label to truly embody Oniv, our interpretation of a world-class Chenin Blanc. Luxurious, clean &amp; underst…",2022-09-17 06:06:05,Ελλάς
61,Information Critical,1.0,RT @JamesSuckling: Always a pleasure to meet and taste with Ted Lemon of Littorai. He managed to make some beautiful 2020 Chardonnays and P…,2022-09-17 06:05:55,Virginia
62,Tea Leaf Collective,0.0,"2016 Michele Chiarlo Tortoniano Barolo

🛒 &gt;&gt;&gt; https://t.co/jkJrtnJyGB

Delicious 4.2 star wine from Barolo. An Ital… https://t.co/z5Nsre3voR",2022-09-17 06:02:26,
63,Tea Leaf Collective,0.0,"# U.V. Adirondack Winery Soaring Strawberry

🛒 &gt;&gt;&gt; https://t.co/Y7zDEuu2rK

#AD #wine #shiraz #chardonnay #rioja… https://t.co/iIzQlszrxd",2022-09-17 06:01:40,"Sydney, Australia"
64,Twitter for Android,1.0,"RT @john_ue38: Alaska's first read from being stripped away by flash floods, and a large spectrum of readers, usually geographically define…",2022-09-17 06:00:54,United States
65,Tea Leaf Collective,0.0,"# 2018 Geoff Merrill Grumpy Gramps Grenache

🛒 &gt;&gt;&gt; https://t.co/7KeEaxvZc8

Delicious 3.7 star wine from McLaren Va… https://t.co/j1xoIdiQu6",2022-09-17 06:00:46,
66,Twitter for iPhone,0.0,Dining with @SnoopDogg and @GordonRamsay? Apparently it may be a thing. #food #restaurants @GlasgowTourism #cuisine… https://t.co/plmbmaU8cJ,2022-09-17 06:00:23,"Cygnet, Tasmania"
67,Tweet Suite,0.0,#Wine Humor! https://t.co/sOvbFSaWpS,2022-09-17 06:00:06,"Naples, FL"
68,Agorapulse app,1.0,"We wanted our label to truly embody Oniv, our interpretation of a world-class Chenin Blanc. Luxurious, clean &amp; unde… https://t.co/Qs7sXl5kYX",2022-09-17 05:58:01,Cape Town
69,Twitter for Android,0.0,"""Wine Steal Of The Week"" Episode #152 Love For Piemonte
https://t.co/Ih0WyuEWzW #Winestealoftheweek #Barbera… https://t.co/s2dWDP8EXE",2022-09-17 05:57:54,
70,Twitter Web App,1.0,Always a pleasure to meet and taste with Ted Lemon of Littorai. He managed to make some beautiful 2020 Chardonnays… https://t.co/RlyGSWm0w7,2022-09-17 05:55:24,Planet Wine.
71,Twitter for iPhone,0.0,Drums and wine #kirkwoodwinestroll  @kirkwoodwinestroll #drums #wine https://t.co/7B0EsMxGFB,2022-09-17 05:53:25,Georgia
72,Twitter Web App,1.0,"@FallonTonight I fell in🥰with this woman in 🎞️📽️the mask and now I'm falling for her #wine 😌🥂😁 
...oooh🎵… https://t.co/D0MVxgS7BL",2022-09-17 05:48:05,Everywhere
73,CellarTracker,0.0,"Drinking 2018 Quinta do Vallado #Sousão Douro -Yowza. Good, even great fruit, w dark components overpowering pretty… https://t.co/QaRbznkkpP",2022-09-17 05:43:52,Houston
74,Twitter for iPhone,1.0,RT @VashtiRoebuck2: @vashtiroebuck1 Amazing Boutique Wine @VashtiRoebuck2 @RoebuckSteve1 #NealFamilyWine #SundayFunday #oregon #wines @Visi…,2022-09-17 05:42:11,"Las Vegas, NV"
75,Twitter for iPhone,1.0,RT @JEpstine: #wine #winelover #burgundy  what an amazing bottle of #Pinot Noir from an amazing producer. All the markings of a great red B…,2022-09-17 05:40:33,"Las Vegas, NV"
76,Tweet Suite,0.0,Remember Take Life One Sip At A Time!! #wine #winelovers #wineselfies https://t.co/y25xmzJJfW,2022-09-17 05:40:06,"Naples, FL"
77,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 05:39:46,Dresden Germany
78,Twitter for iPhone,6.0,RT @JeannieChoLee: 1961 is a vintage in Bordeaux that stands the test of time - this modest St Emilion château is still offering pleasure 6…,2022-09-17 05:39:02,"Las Vegas, NV"
79,Twitter for iPhone,16.0,"RT @BartlettBacchus: Just opened this 1995 Chateau #LeovilleBarton to go with a couple rib eyes that will go on the grill later. Hopefully,…",2022-09-17 05:37:38,"Las Vegas, NV"
80,TheWeb3Bot,3.0,"RT @Eternal_Love420: Vineyard🍇.eth 

Enjoy some fine #wine 🍷 at the #Vineyard 🍇

#domains #domainnames #ENS #ensdomains #ETH #Ethereum #NFT…",2022-09-17 05:36:56,
81,ApeBotENS,3.0,"RT @Eternal_Love420: Vineyard🍇.eth 

Enjoy some fine #wine 🍷 at the #Vineyard 🍇

#domains #domainnames #ENS #ensdomains #ETH #Ethereum #NFT…",2022-09-17 05:36:51,Metaverse
82,DomainApeBot,3.0,"RT @Eternal_Love420: Vineyard🍇.eth 

Enjoy some fine #wine 🍷 at the #Vineyard 🍇

#domains #domainnames #ENS #ensdomains #ETH #Ethereum #NFT…",2022-09-17 05:34:08,Metaverse
83,Twitter for Android,1.0,"Alaska's first read from being stripped away by flash floods, and a large spectrum of readers, usually geographical… https://t.co/GQXJkR7mPi",2022-09-17 05:34:08,
84,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 05:30:22,"Fargo, ND"
85,Twitter for iPhone,2.0,"RT @So_mmel_ier: 05 Clarendon Hills Clarendon #Syrah is seductive. Aromatically reminiscent of La Turque, the #wine is showing baked strawb…",2022-09-17 05:30:12,"Las Vegas, NV"
86,Twitter for iPhone,7.0,RT @BartlettBacchus: 1992 #Shafer Hillside Select. A fully mature 30 year old wine that’s still fresh and lush. A classic HHS that’s full o…,2022-09-17 05:29:41,"Las Vegas, NV"
87,Twitter for iPhone,2.0,RT @SDWineReviews: Famtastic might of amazing Second Growth and equivalent #Bordeaux #wine. They were all exceptional but the 2000 Pichon L…,2022-09-17 05:29:31,"Las Vegas, NV"
88,Twitter for iPhone,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 05:28:41,
89,Twitter for iPad,2.0,"RT @Vinpro_za: Prem @alanwinde, thank you for the continued support of @WCGovAgri @WesternCapeGov &amp; Min @ivan2meyer to #agriculture, the #w…",2022-09-17 05:27:44,
90,Twitter Web App,3.0,"Vineyard🍇.eth 

Enjoy some fine #wine 🍷 at the #Vineyard 🍇

#domains #domainnames #ENS #ensdomains #ETH #Ethereum… https://t.co/oLiIFnszBV",2022-09-17 05:27:13,GalacticNucleus7thDimension🌌
91,Twitter Web App,2.0,"RT @Tony_Lombardi_: Go Giants! ❤️⚾️🍷
@SFGiants just made a great hire: Evan Goldstein, master sommelier!
https://t.co/oXz0WcjdDE via @sfchr…",2022-09-17 05:24:03,"Forestville, CA"
92,Tweet Suite,1.0,What #wine are you drinking #winelovers? https://t.co/3twuzd2zBw,2022-09-17 05:20:06,"Naples, FL"
93,Twitter Web App,3.0,"RT @Eternal_Love420: Have a sip of #Wine at the #Winery 🍷🫐

Winery🍷.eth

#ensdomains #domains #domainnames #DomainNameForSale #ETH #Ethereu…",2022-09-17 05:15:23,GalacticNucleus7thDimension🌌
94,Instagram,0.0,@joshuacooper88 #wine new releases now in store @belairfinewines @ Belair Fine Wines https://t.co/klXLDSBcz0,2022-09-17 05:12:21,Adelaide South Australia
95,Twitter for iPhone,0.0,"@SuzyQlovesWine @BdxExcellence @DrinkBordeaux I’m jelly foh-sho. Fantastic, I’m actually super excited for you. It… https://t.co/sk16qrmaoY",2022-09-17 05:11:45,"Utah, USA"
96,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 05:11:29,2nd star to the right...
97,Twitter for Android,2.0,"RT @Vinpro_za: Prem @alanwinde, thank you for the continued support of @WCGovAgri @WesternCapeGov &amp; Min @ivan2meyer to #agriculture, the #w…",2022-09-17 05:09:58,
98,Twitter for iPhone,1.0,"RT @vernsanders: another #wine LifeLesson
#scientificfact https://t.co/fMuepekBdQ",2022-09-17 05:07:53,"Sylhet, Bangladesh"
99,Twitter for iPhone,1.0,"RT @Rincon_Richmond: Our fantastic house band The Cardinals are back tomorrow, live from 8:30pm
Join us for a stomping night of fab music,…",2022-09-17 05:03:06,"Surrey, UK"
100,CellarTracker,0.0,"Drinking 2017 King Estate Brut Cuvée -Rich, nutty, and loaded with brioche, this could easily be confused for a cha… https://t.co/lkvbI05Olc",2022-09-17 05:02:14,Houston
101,BinfoTrends,1.0,"RT @SvetlanaCanada: ""Wine &amp; Beer #tasting with #metabolomics"" workshop was very entertaining. Especially after a second sample. After forth…",2022-09-17 05:01:53,127.0.0.1
102,Tweet Suite,0.0,Anyone else feel like this? The weekends are always welcome! #wine #wineselfies #wineselfie #wineHurryUp https://t.co/DS7zgz7hrw,2022-09-17 05:00:08,"Naples, FL"
103,RequestLabApp,0.0,"Layered Wine Scene, Layered Art, Wine Lover Gift
 #wine #art #LoverGift #scene #Layered #CreationsbyCasady

👉… https://t.co/AMqxJfosKE",2022-09-17 04:59:42,Минск
104,FreedoniaBot310,0.0,"3D Layered Wine Scene, Layered Art, Wine Lover Gift
 #scene #LoverGift #wine #Layered #art #CreationsbyCasady

👉… https://t.co/BkRq80exki",2022-09-17 04:58:54,
105,Twitter for iPhone,0.0,Wine Not? @StFrancisWinery #sonoma #wine #California https://t.co/Xbr4DDnNQO,2022-09-17 04:53:13,
106,Twitter Web App,1.0,Why #vermentino is at the centre of a #wine industry row. #winebusiness #grapes https://t.co/3lrYN8uyPw https://t.co/PoxUZF2ULK,2022-09-17 04:51:04,"Cygnet, Tasmania"
107,Twitter Web App,1.0,"""Wine &amp; Beer #tasting with #metabolomics"" workshop was very entertaining. Especially after a second sample. After f… https://t.co/gjBEzsapF0",2022-09-17 04:50:59,"Edmonton, Alberta, CANADA"
108,Buffer,0.0,. #SauvignonBlancs You Should Get to Know - WSJ https://t.co/oUdVAzDFKR @Boozeo4u @newchipco #wine #myfcsi https://t.co/eOb0HhYiPk,2022-09-17 04:48:40,"San Jose, California"
109,TweetDeck,0.0,"Sit back and relax with beautiful #food, good company and free-flowing bubbly! #wine #whatson #sydney @sir_stamford… https://t.co/UpBDvMiiwc",2022-09-17 04:48:00,Sydney
110,Twitter Web App,0.0,Move up a notch to enjoy a delicious cabernet. @chapelhillwine @McLarenValeWine @SouthAustralia #wine #winereviews… https://t.co/H8uEG7mhcc,2022-09-17 04:46:27,"Cygnet, Tasmania"
111,Tweet Suite,0.0,Starting my Fruit juice diet! Bottoms up! #wine #wineoclock #winelovers #wineselfie https://t.co/iFa0MunqQF,2022-09-17 04:40:07,"Naples, FL"
112,Twitter for iPhone,2.0,"RT @mlzema: #TwitterSupperClub
#FridayNightFeast!

Grilled Ribeye Steak w/Sautéed Baby Bella Mushrooms &amp; Béarnaise Sauce on the side 
Roast…",2022-09-17 04:39:11,"Paso Robles, CA"
113,Twitter for iPhone,3.0,"RT @hydamus: How about a stupendous blend of Viognier and Muscat to start your weekend? 💫🤩

@domainewardy Private Selection White oozes wit…",2022-09-17 04:36:03,Zahle - Lebanon
114,Twitter for iPhone,0.0,"#Repost @sandyyrakka with @use.repost
・・・
“A Tree of Blood and Wine”🍷
•
•
•
#domaineWardy #familybusiness #winery… https://t.co/PfFo3MgAcd",2022-09-17 04:34:54,Zahle - Lebanon
115,Twitter for Android,0.0,"The grapes were almost ready..😉
#grapes #wine #MyPhoto #photography https://t.co/GRgad76zfe",2022-09-17 04:21:44,
116,Twitter Web App,7.0,"RT @silvano10: So far, quite good! 2017 Castello Di Ama Haiku… paired with home made ricotta &amp; spinach cannelloni  #wine #italianfood https…",2022-09-17 04:21:41,Alberta
117,Tweet Suite,0.0,#WineLovers nothing like crazy face for #wineselfies lol Show us yours in the future!! #wine #wineoclock https://t.co/cRyBwfK2I9,2022-09-17 04:20:07,"Naples, FL"
118,Twitter for iPhone,2.0,"RT @NatalieMacLean: Are you still wearing white pants and/or drink white wine❓

Let me know in the comments 👇

#Natdecants #winegeek #winel…",2022-09-17 04:18:17,Where there is luxury!
119,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 04:15:57,"Oregón, USA"
120,Twitter for iPad,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 04:15:54,"San Luis Obispo, CA"
121,Twitter Web App,0.0,"𝐄𝐜𝐨-𝐟𝐫𝐢𝐞𝐧𝐝𝐥𝐲 𝐥𝐮𝐱𝐮𝐫𝐲 𝐰𝐨𝐨𝐝𝐞𝐧 𝐰𝐢𝐧𝐞 𝐛𝐨𝐱 🎉
📧Email : exportsales@thanhtungthinh(dot)com
#winebox #wine #engravedwinebox… https://t.co/UkBdIWv8Cy",2022-09-17 04:07:49,
122,Twitter for iPad,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 04:07:14,It depends
123,Tweet Auto Posting,0.0,"Just added Kindeli, Verano (2021) to the website. Check it out here: https://t.co/PMAHvEciai.

#newwinealert #wine… https://t.co/qUhJt1fHF6",2022-09-17 04:06:12,NYC
124,Tea Leaf Collective,0.0,"#Round Two Wines Round Two Barossa Valley Shiraz 2019

🛒 &gt;&gt;&gt; https://t.co/mSQI8684wv

#AD #wine #shiraz #chardonnay… https://t.co/njHQyqLIdS",2022-09-17 04:01:44,
125,IFTTT,0.0,Host a Private #Wine Tasting in your home. We make it easy! Click for More Info: https://t.co/R7PZdjWB15 #Baltimore #MDwine,2022-09-17 04:01:34,"Baltimore, MD"
126,Buffer,12.0,Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 04:00:33,email:wine@winewankers.com
127,Tea Leaf Collective,0.0,"#Vinomofo Shiraz 2019 – Black Market Deal #35050

🛒 &gt;&gt;&gt; https://t.co/5r1YdMZIF0

#AD #wine #shiraz #chardonnay… https://t.co/kmNi5SUOlh",2022-09-17 04:00:12,
128,Tweet Suite,0.0,May the #Wine be with you! #winelovers #wineoclock #wineselfie https://t.co/oPoA9JXs2G,2022-09-17 04:00:07,"Naples, FL"
129,Twitter Web App,4.0,"RT @ContrarianBro: Daily funny
#memes #wine #funny https://t.co/VucqM3xxH0",2022-09-17 03:56:27,
130,AddtoCart.co.uk,0.0,"Riverstone Ridge Sauvignon Blanc | Wine

https://t.co/VtLN2n4SXn

#Wine #AlcoholicBeverages #Beverages… https://t.co/141Pn9Yu6U",2022-09-17 03:53:24,United Kingdom
131,Instagram,0.0,#wine #redwine #newworldwines #napawine #napawines #atlaspeak #atlaspeakwines #cabernetsauvignon @lobowines… https://t.co/AgeI7GzT9P,2022-09-17 03:50:43,Santa Clara CA
132,IFTTT,0.0,"Have you liked our facebook page! It’s all about #wine, #food, education &amp; a whole lot more! https://t.co/UrVFEsCdQy",2022-09-17 03:44:14,"Fresno, CA"
133,Twitter for iPhone,1.0,"RT @WineIndustryJob: Cellar Door Manager - ArtWine
@ArtWineEstate #CellarDoor #WineSales #salespeople #SocialMedia #EDM #WineClub #DTC #win…",2022-09-17 03:43:24,South Australia
134,Twitter for iPhone,1.0,"RT @WineIndustryJob: Cellar Door Manager - ArtWine
@ArtWineEstate #CellarDoor #WineSales #salespeople #SocialMedia #EDM #WineClub #DTC #win…",2022-09-17 03:43:13,South Australia
135,Twitter for Android,5.0,"RT @SlovenianA: Incredible! - the World's Oldest #Vine in #Maribor, #Slovenia, still producing #grapes after 400 years. This vine has found…",2022-09-17 03:42:19,Reus (Catalunya Sud) 
136,Tweet Suite,0.0,The Bucket List: A Guide to the World's Major #Wine Regions https://t.co/a48wPcQbcw #wineoclock #winelovers https://t.co/8521h8RS4y,2022-09-17 03:40:07,"Naples, FL"
137,Twitter Web App,2.0,"RT @Randbreloaded: Everything begins with music and ends with music, seeing you into the weekend with a bang ..preregistration is required…",2022-09-17 03:35:16,
